Test ID: 183,,,,User: Von Der Haar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name: YEAST GROWTH,,,,Path: C:\Program Files (x86)\BMG\Omega\VONDERHAAR\Data\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: 26/06/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 16:21:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: 110626 SGRP FLucs 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,Absorbance values are displayed as OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content,"Well
Col","Well
Row",Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595)
,,Time,0 h ,0 h 30 min,1 h ,1 h 30 min,2 h ,2 h 30 min,3 h ,3 h 30 min,4 h ,4 h 30 min,5 h ,5 h 30 min,6 h ,6 h 30 min,7 h ,7 h 30 min,8 h ,8 h 30 min,9 h ,9 h 30 min,10 h ,10 h 30 min,11 h ,11 h 30 min,12 h ,12 h 30 min,13 h ,13 h 30 min,14 h ,14 h 30 min,15 h ,15 h 30 min,16 h ,16 h 30 min,17 h ,17 h 30 min,18 h ,18 h 30 min
YPS606:C,1,A,0.412,0.395,0.393,0.392,0.397,0.401,0.413,0.417,0.429,0.444,0.468,0.498,0.536,0.589,0.667,0.768,0.893,1.052,1.236,1.441,1.656,1.859,2.043,2.218,2.373,2.514,2.644,2.765,2.862,2.954,3.036,3.106,3.167,3.225,3.235,3.249,3.258,3.274
YPS606:C,2,A,0.382,0.381,0.374,0.373,0.376,0.374,0.377,0.379,0.381,0.383,0.389,0.385,0.391,0.397,0.397,0.411,0.431,0.45,0.478,0.519,0.571,0.637,0.707,0.793,0.885,0.989,1.094,1.209,1.316,1.426,1.519,1.62,1.704,1.797,1.873,1.95,2.023,2.097
YPS606:C,3,A,0.414,0.401,0.397,0.395,0.395,0.395,0.401,0.398,0.401,0.406,0.411,0.415,0.418,0.428,0.429,0.458,0.487,0.525,0.577,0.638,0.721,0.816,0.922,1.042,1.169,1.3,1.419,1.53,1.635,1.737,1.827,1.917,2.004,2.087,2.169,2.247,2.321,2.387
YPS606:max,4,A,0.42,0.402,0.395,0.4,0.403,0.404,0.412,0.414,0.417,0.418,0.439,0.439,0.451,0.464,0.474,0.496,0.523,0.556,0.595,0.653,0.72,0.791,0.878,0.967,1.061,1.164,1.264,1.374,1.482,1.592,1.7,1.81,1.908,2.007,2.106,2.201,2.285,2.366
YPS606:max,5,A,0.385,0.369,0.366,0.366,0.366,0.363,0.368,0.364,0.364,0.361,0.369,0.366,0.365,0.365,0.357,0.361,0.367,0.367,0.363,0.367,0.367,0.368,0.368,0.37,0.371,0.379,0.381,0.389,0.391,0.407,0.417,0.431,0.447,0.467,0.491,0.514,0.537,0.56
YPS606:max,6,A,0.413,0.387,0.384,0.389,0.386,0.379,0.385,0.383,0.382,0.377,0.393,0.386,0.387,0.388,0.389,0.39,0.394,0.392,0.393,0.397,0.405,0.41,0.418,0.421,0.437,0.456,0.473,0.482,0.504,0.532,0.552,0.574,0.6,0.625,0.651,0.674,0.706,0.726
Y12:C,1,B,0.436,0.422,0.417,0.421,0.432,0.439,0.453,0.467,0.486,0.51,0.533,0.561,0.594,0.638,0.686,0.75,0.819,0.903,1.008,1.115,1.244,1.378,1.518,1.672,1.822,1.968,2.099,2.223,2.329,2.424,2.504,2.579,2.656,2.73,2.794,2.859,2.921,2.983
Y12:C,2,B,0.454,0.426,0.421,0.416,0.421,0.428,0.435,0.437,0.448,0.462,0.477,0.491,0.506,0.528,0.549,0.578,0.619,0.665,0.727,0.784,0.856,0.931,1.014,1.111,1.2,1.294,1.386,1.476,1.561,1.638,1.707,1.773,1.837,1.899,1.961,2.021,2.078,2.144
Y12:C,3,B,0.445,0.431,0.43,0.427,0.431,0.44,0.451,0.459,0.476,0.494,0.518,0.534,0.556,0.581,0.611,0.655,0.705,0.77,0.843,0.93,1.028,1.151,1.268,1.397,1.524,1.657,1.786,1.906,2.018,2.12,2.213,2.302,2.379,2.451,2.524,2.593,2.656,2.725
Y12:max,4,B,0.439,0.408,0.41,0.407,0.415,0.418,0.428,0.435,0.445,0.459,0.474,0.481,0.5,0.512,0.541,0.555,0.586,0.609,0.645,0.676,0.718,0.77,0.821,0.878,0.933,0.993,1.054,1.114,1.182,1.237,1.3,1.361,1.424,1.493,1.552,1.616,1.683,1.751
Y12:max,5,B,0.425,0.405,0.413,0.413,0.426,0.437,0.446,0.457,0.472,0.484,0.5,0.511,0.525,0.54,0.553,0.578,0.608,0.641,0.676,0.712,0.754,0.801,0.849,0.903,0.965,1.032,1.096,1.173,1.246,1.331,1.406,1.489,1.569,1.655,1.733,1.807,1.871,1.941
Y12:max,6,B,0.421,0.391,0.401,0.397,0.4,0.407,0.412,0.416,0.422,0.432,0.443,0.45,0.457,0.468,0.47,0.471,0.479,0.486,0.501,0.508,0.523,0.545,0.565,0.585,0.61,0.644,0.673,0.704,0.745,0.792,0.839,0.886,0.941,0.997,1.059,1.118,1.184,1.246
